"ISO","SPID","adm1_name","vac","pop"
"UGA","UGA_21","Kasese",0,873036.253076983
"UGA","UGA_22","Katakwi",0,488109.337359699
"UGA","UGA_23","Kayunga",0,491359.274846751
"UGA","UGA_24","Kibale",0,676513.466931034
"UGA","UGA_25","Kiboga",0,382720.91799762
"UGA","UGA_26","Kisoro",0,364221.360374019
"UGA","UGA_27","Kitgum",0.621924566896543,471999.141876112
"UGA","UGA_28","Kotido",0.0556979860776659,630639.738725938
"UGA","UGA_29","Kumi",0,648662.323869611
"UGA","UGA_3","Arua",0,1402888.55697599
"UGA","UGA_30","Kyenjojo",0,628888.214784318
"UGA","UGA_31","Lake Albert",0,3977.77049297971
"UGA","UGA_32","Lake Victoria",0,38349.0373602031
"UGA","UGA_33","Lira",0,1242039.71253631
"UGA","UGA_34","Luwero",0,798199.945937426
"UGA","UGA_35","Masaka",0.842324091290367,1293330.00321983
"UGA","UGA_36","Masindi",0,765354.091057895
"UGA","UGA_37","Mayuge",0,538623.42282824
"UGA","UGA_38","Mbale",0,1190419.8158702
"UGA","UGA_39","Mbarara",0,1807877.56516268
"UGA","UGA_4","Bugiri",0,673523.389450734
"UGA","UGA_40","Moroto",0,317298.067726064
